500 1500
178 164 8150
74 91 1607
98 296 2376
113 29 8150
345 382 7894
354 36 7312
294 59 968
230 470 7325
258 73 5915
255 2 6132
232 499 9114
195 168 4036
297 135 1960
48 343 3340
83 43 2429
7 321 1050
263 238 8064
318 133 9600
114 27 3924
17 14 6900
215 449 8562
57 37 9399
52 271 5856
376 380 7316
248 4 6512
185 178 4557
238 73 1375
495 21 5424
342 114 1656
105 296 1804
28 454 8894
47 297 7546
401 222 4424
201 107 4979
465 173 3746
189 172 2744
131 50 5040
299 75 3073
55 50 4858
424 422 8322
211 194 9168
376 361 8254
392 247 7133
463 51 1320
80 2 2197
182 269 6122
61 258 9968
49 251 7073
500 346 8472
223 37 5520
396 75 3968
150 53 8270
381 220 8696
297 441 2925
416 391 9848
480 64 4720
461 46 7899
242 9 406
494 493 2617
292 125 3358
63 280 8750
235 42 3075
464 486 7008
335 322 1640
267 340 7480
419 257 6400
115 80 1904
197 128 5368
151 37 8505
107 258 896
413 270 5526
2 1 5020
333 194 205
478 248 2150
267 127 5948
141 139 3580
193 182 3840
61 470 5653
1 0 6000
384 430 9541
464 152 819
219 367 5542
176 110 1016
10 141 2908
298 95 5780
405 384 1092
447 77 6614
450 107 6528
220 241 4958
287 163 5744
443 213 4427
131 467 9021
487 56 5448
86 305 7950
158 397 4704
409 68 9364
20 434 2633
339 40 4830
183 41 5320
203 296 9888
476 239 8440
275 26 8084
83 349 2852
431 128 2256
116 4 6380
380 254 5184
65 179 8880
279 162 8088
113 46 8128
175 181 5025
442 411 8016
494 314 5372
18 12 2835
467 207 9570
275 78 2957
315 343 7486
74 2 2276
307 482 3712
216 131 6446
420 285 2422
365 152 4656
403 194 3247
270 151 8160
36 55 5168
168 327 4750
104 96 9219
170 122 8176
472 333 744
348 59 9050
499 362 4670
290 1 5515
241 90 5612
178 137 3950
33 7 5483
421 175 7982
214 306 6754
134 87 3436
343 445 320
38 386 1188
5 4 4096
415 113 6077
304 126 7332
217 472 8782
495 225 3706
420 439 4024
266 234 6825
20 1 8304
408 65 3454
200 153 2468
459 455 105
389 135 5498
345 63 3220
318 54 9306
46 463 3520
449 170 6380
253 114 3166
245 144 9790
31 4 7623
290 277 5460
77 111 5682
348 220 5558
198 128 571
322 117 6365
498 4 8502
114 441 1960
455 114 2544
323 233 3604
425 10 7552
228 262 1019
4 237 122
140 60 7299
22 14 3428
315 453 4060
379 240 73
296 221 8214
124 258 80
5 371 564
124 423 718
84 13 154
70 210 4036
132 429 7100
329 280 9176
56 272 3712
79 63 7014
87 65 9937
209 390 7428
427 60 7180
8 35 8110
330 245 7330
313 137 4736
227 34 8923
53 3 9680
148 344 9584
349 118 1928
361 133 1128
173 138 9308
489 136 4879
137 408 1576
66 13 6604
146 50 2424
460 150 7100
230 114 1600
397 289 4273
393 165 8880
380 425 4430
325 107 4880
405 234 9408
386 97 2671
70 295 2599
208 78 4630
160 285 1512
485 152 776
130 473 6050
336 339 1200
445 382 7128
207 369 195
56 41 7750
302 185 7326
210 3 1000
339 188 2446
444 56 9142
430 467 2020
147 405 1960
257 136 16
486 219 2672
262 153 5695
286 154 1510
315 133 6988
169 81 1250
422 128 2972
379 351 6796
135 270 1346
461 314 7520
319 173 8600
372 292 4076
52 286 4800
30 255 4586
31 240 400
247 167 2036
375 197 1776
384 273 2300
6 378 1609
415 64 7209
34 471 6830
243 53 5484
353 149 4558
343 338 6331
325 484 9408
293 182 6240
222 18 400
493 221 6982
351 71 7696
113 27 3156
413 440 987
220 75 6380
492 407 2684
